#header,Name,Ozi ID,Ellipsoid,Delta X,Delta Y,Delta Z,PROJ4 definition,"comment"
ellps,GRS 80,6378137,298.2572221,"+ellps=GRS80"
ellps,Hayford 1909,6378388,296.959263,
ellps,Helmert 1906,6378200,298.3,"+ellps=helmert"
ellps,Hough 1960,6378270,297,"+ellps=hough"
ellps,International 1924,6378388,297,"+ellps=intl"
ellps,Krassovsky 1940,6378245,298.3,"+ellps=krass"
ellps,Modified Airy,6377340.189,299.3249646,"+ellps=mod_airy"
ellps,Modified Fischer 1960,6378155,298.3,"+ellps=fschr60m"
ellps,South American 1969,6378160,298.25,"+ellps=aust_SA"
ellps,WGS 72,6378135,298.26,"+ellps=WGS72"
ellps,WGS 84,6378137,298.25722356,"+ellps=WGS84"

#header,Projection,PROJ4 definition,comment
proj,Latitude/Longitude,"+proj=latlong",
proj,Mercator,"+proj=merc",
proj,Transverse Mercator,"+proj=tmerc",
proj,Lambert Conformal Conic,"+proj=lcc",
proj,(A)Lambert Azimuthual Equal Area,"+proj=laea",       # not tested
proj,(EQC) Equidistant Conic,"+proj=eqdc",
proj,Sinusoidal,"+proj=sinu",       # not tested
proj,Polyconic (American),"+proj=poly",
proj,Albers Equal Area,"+proj=aea",        # not tested
proj,Van Der Grinten,"+proj=vandg",      # not tested
proj,Vertical Near-Sided Perspective,"+proj=nsper",      # not tested
proj,(WIV) Wagner IV,"+proj=wag4",       # not tested
proj,Bonne,"+proj=bonne",      # not tested
proj,(MT0) Montana State Plane Zone 2500,"+init=esri:102300",# not tested
proj,(VICGRID) Victoria Australia,"+init=epsg:3110",  # not tested
proj,(VG94) VICGRID94 Victoria Australia,"+init=epsg:3111",  # not tested
proj,(UTM) Universal Transverse Mercator,"+proj=tmerc +k=0.9996",
proj,(BNG) British National Grid,"+init=epsg:27700",
proj,(IG) Irish Grid,"+init=epsg:29902", # not tested
#proj,(NZG) New Zealand Grid,"+init=epsg:27200", # not tested
# http://osgeo-org.1803224.n2.nabble.com/New-Zealand-grid-tp2062137p2062142.html
proj,(NZG) New Zealand Grid,"+proj=nzmg +lat_0=-41.0000000000 +lon_0=173.0000000000 +x_0=2510000.0000000000 +y_0=6023150.0000000000 +a=6378388 +rf=297 +nadgrids=nzgd2kgrid0005.gsb +wktext +no_defs", # not tested
proj,(NZTM2) New Zealand TM 2000,"+init=epsg:2193", # not tested
# http://en.wikipedia.org/wiki/Swedish_grid
proj,(SG) Swedish Grid,"+proj=tmerc +lon_0=15.808277777778 +x_0=1500000 +y_0=0", 
proj,(SUI) Swiss Grid,"+init=epsg:21781", # not tested
proj,(I) France Zone I,"+init=epsg:27571", # not tested
proj,(II) France Zone II,"+init=epsg:27572", # not tested
proj,(III) France Zone III,"+init=epsg:27573", # not tested
proj,(IV) France Zone IV,"+init=epsg:27574", # not tested
proj,(ITA1) Italy Grid Zone 1,"+init=epsg:26591 +towgs84=-85.88,-28.85,+49.67,-1.003,-2.383,-1.808,-27.82", # http://mpa.itc.it/markus/shortcourse/notes2.html # not tested
proj,(ITA2) Italy Grid Zone 2,"+init=epsg:26592 +towgs84=-85.88,-28.85,+49.67,-1.003,-2.383,-1.808,-27.82", # not tested
proj,(VICMAP-TM) Victoria Aust.(pseudo AMG),"+proj=tmerc +lat_0=145 +x_0=500000 +y_0=10000000",# http://www.gpsoz.com.au/VicRoadsInfo.htm # not tested
